"Paper plates (dirty)","Black wheelie bin/blue bag",0,black,
"Paper towels","Black wheelie bin/blue bag",0,black,
Pans,HWRC,1,grey,
"Paving slabs",HWRC,1,grey,
"Pet bedding (cloth and paper)","Black wheelie bin/blue bag/HWRC",1,black,
"Pet bedding (hay and straw)","Garden waste collection",1,green,
"Pet waste","Black wheelie bin/blue bag/HWRC",1,black,
"Photo copiers",HWRC,1,grey,
Photographs,"Black wheelie bin/blue bag",0,black,
"Pianos (and other musical instruments)",HWRC,1,grey,
Pillows,"Black wheelie bin/blue bag/HWRC",1,black,
"Pillow covers","Textiles collection",1,orange,"in a carrier bag"
Plants,"Garden waste collection",1,green,
"Plant pots or trays",HWRC,1,grey,
Plasterboard,HWRC,1,grey,"fees may apply"
"Plastic (plant pots)",HWRC,1,grey,
"Plastic bottles (any) - Plastics collection (in a white/transparent plastic bag","please flatten and include lids)",0,,
"Plastic carrier bags","Black wheelie bin/blue bag/return to large supermarkets",0,black,
"Plastic furniture",HWRC,1,grey,
"Plastic lids","Plastics collection",1,white,"in a white/transparent plastic bag"
"Plastic postal bags","Black wheelie bin/blue bag/HWRC",1,black,
"Plastic supermarket fruit/veg bags","Black wheelie bin/blue bag",0,black,
"Plastic toys","HWRC/Black wheelie bin/blue bag",1,black,"if it will fit"
"Plastic tray (black)","Black wheelie bin/blue bag",0,black,
"Plastic tray (clear/white)","Plastics collection",1,white,"in a white/transparent plastic bag"
"Plastic tray (green/brown)","Plastics collection",1,white,"in a white/transparent plastic bag"
Polystyrene,"Black wheelie bin/blue bag",0,black,
"Pond plants","Garden waste collection",1,green,
Pyrex,"Black wheelie bin/blue bag /HWRC",1,black,
"Rabbit hutches (and similar)","Bulky waste collection/HWRC",1,grey,
Radiators,HWRC,1,grey,
"Roof guttering",HWRC,1,grey,
Rubble,HWRC,1,grey,"limits on quantity"
"Sandwich bags","Black wheelie bin/blue bag",0,black,
"Sanitary products","Black wheelie bin/blue bag",0,black,
"Scrap metal",HWRC,1,grey,
"Screws / nuts / bolts",HWRC,1,grey,
"Shampoo bottles (plastic)","Plastics collection",1,white,"in a white/transparent plastic bag"
Sheds,HWRC,1,grey,"disassembled and sorted"
Shoes,"Textiles collection",1,orange,"in a carrier bag"
"Shredded paper","Recycling box",1,orange,"contained in an envelope, paper bag or box"
Shrubs,"Garden waste collection",1,green,
Sinks,"Bulky waste collection/HWRC",1,grey,
"Sleeping bags","Black wheelie bin/blue bag/HWRC",1,black,
"Smoke alarms",HWRC,1,grey,
"Soap bottles (plastic)","Plastics collection",1,white,"in a white/transparent plastic bag"
Soil,HWRC,1,grey,"limits on quantity"
Spectacles,HWRC,1,grey,
"Spread tubs","Plastics collection",1,white,"in a white/transparent plastic bag"
"Steel pans","Black wheelie bin/blue bag/HWRC",1,black,
"Steel baking trays","Black wheelie bin/blue bag/HWRC",1,black,
"Stoma bags","Clinical waste collection",0,,arranged
Stones,HWRC,1,grey,"limits on quantity"
"Storage heaters",HWRC,1,grey,
"Sweet wrappers","Black wheelie bin/blue bag",0,black,
"Tablet Packs (Blister Packs)","Black wheelie bin/blue bag",0,black,
"Takeaway paper coffee cups","Recycling box",1,orange,
"Takeaway tubs","Plastics collection",1,white,"in a white/transparent plastic bag"
"Telephone directories","Recycling box",1,orange,
Television,"Bulky waste collection/HWRC",1,grey,
"Tetra Pak cartons","Black wheelie bin/blue bag",0,black,
Textiles,"Textiles collection",1,orange,"in a carrier bag"
Tiles,HWRC,1,grey,"limits may apply"
Timber/logs,HWRC,1,grey,
Tissues,"Black wheelie bin/blue bag",0,black,
"Toilets (lids, pans and cisterns)",HWRC,1,grey,
"Toner cartridges",HWRC,1,grey,
"Tools - garden/carpentry",HWRC,1,grey,
Towels,"Textiles collection",1,orange,"in a carrier bag"
Toys,HWRC,1,grey,
"Treated wood",HWRC,1,grey,
"Trees / bushes",HWRC,1,grey,"Size limits will apply"
"Tumble dryer","Bulky waste collection/ HWRC",1,grey,
Turf,HWRC,1,grey,"limits on quantity"
TVs,"Bulky waste collection/ HWRC",1,grey,
"Twigs (up to three inches in diameter)","Garden waste collection",1,green,
"Tyres (car, bicycle and motorbike)",HWRC,1,grey,
"USB cables",HWRC,1,grey,
"Vacuum cleaner","Bulky waste collection/HWRC",1,grey,
Vases,"Black wheelie bin/blue bag/HWRC",1,black,
"Video cassettes (VHS tapes)",HWRC,1,grey,
"Washing machines","Bulky waste collection/HWRC",1,grey,
"Washing up bowls","Black wheelie bin/blue bag/HWRC",1,black,
"Water filter cartridge",HWRC,1,grey,
"Water tank","Bulky waste collection/HWRC",1,grey,
"White goods","Bulky waste collection/HWRC",1,grey,
"Windows (panes)",HWRC,1,grey,
Wipes,"Black wheelie bin/blue bag",0,black,
"Wires and cables",HWRC,1,grey,
Wood,HWRC,1,grey,"Size limits will apply"
"Wound dressings","Clinical waste collection",0,,arranged
"Wrapping paper (non-metallic)","Recycling box",1,orange,
"Wrapping paper (metallic)","Black wheelie bin/blue bag",0,black,
"Writing instruments (e.g. pens, felt tips, correction fluid pot)","Black wheelie bin/blue bag",0,black,
"Yellow Pages","Recycling box",1,orange,
"Yoghurt tubs","Plastics collection",1,white,"in a white/transparent plastic bag"
